Def|State|Word||
defunct|adj|ေပ်ာက္ကြယ္သြားၿပီျဖစ္ေသာ။ ေခတ္ကုုန္သြားၿပီျဖစ္ေသာ။ အသံုးမဝင္ေတာ့ေသာ။||
debatable|adj|မေသခ်ာေသာ။ အျငင္းပြားဖြယ္ရွိေသာ။||
debate|n|စကားအေခ်အတင္ေျပာျခင္း။ စကားရည္လုပြဲ။ စကားစစ္ထိုးပြဲ။ ျငင္းခံုျခင္း။ ေဆြးေႏြးျခင္း။||
debate|v|ေဝဖန္ေဆြးေႏြးသည္။ ခ်ီတံုခ်တံု စဥ္းစားသည္။||
debater|n|စကားအေခ်အတင္ေျပာသူ။ အဆိုရွင္။ အေခ်ရွင္။||
debauch|v|သူတစ္ပါး သားပ်ဳိသမီးပ်ဳိကို ဖ်က္ဆီးသည္။||
debauch|n|အေသာက္အစား အေပ်ာ္အပါးၾကဴးျခင္း။||
debauched|adj|ကာမရာဂႏွင့္ အေသာက္အစား အေပ်ာ္အပါး ၾကဴးေသာ။ ကိုယ္က်င့္တရားပ်က္ေသာ။||
debauchee|n|ကာမရာဂ၊ အေသာက္အစား အေပ်ာ္အပါးၾကဴးသူ။ ကိုယ္က်င့္တရားမဲ့သူ။||
debauchery|n|ကာမရာဂ၊ အေသာက္ အစား အေပ်ာ္အပါးၾကဴးမႈ၊ လိုက္စားမႈ။||
debenture|n|ကုမၸဏီႀကီး (သို႔) လုပ္ငန္းႀကီး တစ္ခုခုသို႔ ေခ်းထားေသာေငြအတြက္ ထုတ္ေပးေသာ လက္မွတ္။ ဒီဘင္ခ်ာေငြေခ်းလက္မွတ္။||
debilitate|v|အားအင္ကုန္ခန္းေစသည္။ အားေလ်ာ့ ေစသည္။||
debility|n|ခ်ည့္နဲ႔ျခင္း။ အားအင္ကုန္ခန္းျခင္း။||
debit|n|ေပးေခ်ရန္ေငြ။ ေပးေငြ။ ၿမီစားစာရင္း။ အႏုတ္လကၡဏာ။||
