huh|interj|ဟုတ္လား၊ ေဟ||
hub|n|အခ်က္အခ်ာ။||
hubbub|n|ဆူဆူညံညံ အသံ။||
hubby|n|လင္ေယာက်ာ္း။||
huddle|vt|vi|ပူးပူးကပ္ကပ္ေနသည္။||
huddle|vt|vi|ေရာေထြးထားသည့္အရာမ်ား သို႔မဟုတ္ လူမ်ား။||
hue|n|အေရာင္းအဆင္း။||
hug|vt |ပိုက္သည္။ဖက္သည္။||
huge|adj|အလြန္ၾကီးမားေသာ။||
hugely|adv|အလြန္မ်ားျပားစြာ။||
hull|n|သေဘၤာဧရာ။||
hum|vt|vi|ပ်ားကဲ့သို႔ အသံျပဳသည္။ သီခ်င္းညည္းသည္။||
hum|n|တဝီဝီမည္ျခင္း။||
human|adj|လူသားႏွင့္ဆိုင္ေသာ။||
humanly|adv|လူသားပီသစြာ။||
humankind|n|လူသားမ်ိဳးႏြယ္။||
humane|adj|ၾကင္နာေသာ။||
humanism|n|လူသားအက်ိဳးအတြက္ ျမဳပ္ႏွံျခင္း။လူသားဝါဒ။||
humantarian|adj|လူလူခ်င္းစာနာ ေထာက္ထားေသာ။||
humantarian|n|လူလူခ်င္းစာနာေထာက္ထားသူ။||
humanitarianism|n|လူလူခ်င္း စာနာေထာက္ထားမူ။||
humanity|n|လူသားမ်ိဳးႏြယ္။||
humanize|vt|vi|လူကဲ့သို႔ျဖစ္ေစသည္။||
humble|adj|ႏွီမ့္ခ်ေသာ။||
humble|vt|ႏွိမ့္ခ်သည္။||
humbly|adv|ႏွိမ့္ခ်စြာ။||
humbug|n|လူလိမ္၊လူညာ။||
humdrum|adj|ျငီးေငြ႔ဖြယ္ျဖစ္ေသာ။||
humid|adj|စိုစြတ္ေသာ။||
humorous|adj|ရယ္ရႊင္ဖြယ္ျဖစ္ေသာ။||
humour|n|ဟာသ၊စိတ္သေဘာထား။||
humour|vt|ေခ်ာ့ေမာ့အားေပးသည္။||
hump|n|ဘို႔။ေတာင္ကုန္း။||
hunchback|n|ေက်ာဘုႏွင့္လူ။ခါးကုန္းႀကီး။||
hundred|n|ရာ။ ရာခ်ီ၍။ရာႏွင့္ခ်ီ၍။ ေပါင္းတစ္ရာ။ တစ္ရာပုံတစ္ပုံ။တစ္ရာေျမာက္။ရာျပည့္။သတမ။||
