ID|abbr|IDENTIFICATION; IDENTITY။ ထုတ္ျခင္း။ ကုိယ္စားျပဳျခင္း။ ပါဝင္ပတ္သက္ျခင္း။ သက္ေသခံကတ္ျပား။||
id|n|မသိစိတ္။||
idea|n|စိတ္ကူး။ အေတြးအေခၚ။ အၾကံအစည္။ သေဘာ သဘာဝ။ ထင္ျမင္ခ်က္။ အေတြး အေခၚ။ ခံယူခ်က္။ ထင္ျမင္ယူဆခ်က္။ သေဘာေပါက္နားလည္မႈ။ ရည္ရြယ္ခ်က္။ (မုိက္မဲစြာ ေျပာဆုိသည္၊ တုန္လႈပ္စရာ ေျပာဆုိသည္ဟု ထင္ျမင္ေၾကာင္း ေဖာ္ျပေသာ အာေမၮိတ္)။||
ideal|adj|အေကာင္းဆုံး။ အသင့္ဆုံး။ စိတ္ကူးယဥ္။ စံနမူနာျပ။ အႀကဳိက္တကာ့အႀကဳိက္ဆုံး။ စံ။||
ideally|adv|အထူး။ အေကာင္းဆုံးပင္။||
idealism|n|စိတ္ကူးယဥ္ဝါဒ။  (philosophy) အေတြးအျမင္ ပဓာနဝါဒ။ ဝိညာဏဝါဒ။||
idealist|n|အေတြးအျမင္ ပဓာနဝါဒီ။||
idealize|v|စံျပဳသည္။ စံထားသည္။||
idealise|v|စံျပဳသည္။ စံထားသည္။||
identical|adj|အျခားမဟုတ္ေသာ။ ထပ္တူ ျဖစ္ေသာ။ တေထရာတည္းျဖစ္ေသာ။ ခြၽတ္စြပ္တူေသာ။||
identically|adv|ထပ္တူစြာ။ ခြၽတ္စြပ္တူစြာ။||
identical twin|n|(ႏွစ္ျမႊာပူးတြင္) ဆင္တူအျမႊာ။||
identify|v|ေဖာ္ထုတ္သည္။ ေရြးထုတ္သည္။ ခြဲျခားႏုိင္သည္။ တန္းတူသေဘာထားသည္။ မည္သူမည္ဝါျဖစ္ေၾကာင္း ခြဲျခားေရြး ထုတ္ျခင္း။ ကုိယ္စားျပဳျခင္း။ ပါဝင္ပတ္သက္ျခင္း။ သက္ေသခံကတ္ျပား။||
identification|n|မည္သူမည္ဝါျဖစ္ေၾကာင္း ခြဲျခားေရြး ထုတ္ျခင္း။ ကုိယ္စားျပဳျခင္း။ ပါဝင္ပတ္သက္ျခင္း။||
identification  parade|n|ေရြးထုတ္ႏုိင္ရန္ တန္းစီျပျခင္း။||
identify (oneself) with|phrv|ပတ္သက္သည္။||
identify with|phrv|စံထားသည္။ ကုိယ္ရင့္တတူ သေဘာထားသည္။||
Identikit|n|ပုဂၢဳိလ္တစ္ဦး၏ မ်က္ႏွာကုိ ဆက္စပ္ေဖာ္ထုတ္ႏုိင္ရန္ အဂၤ ါအစိတ္အပုိင္း ပုံအမ်ဳိးမ်ဳိးပါေသာ ပုံအစု။||
identity|n|မည္သူမည္ဝါျဖစ္ေၾကာင္း၊ မည္သည့္အရာ ျဖစ္ေၾကာင္း အေထာက္အထား။ ထင္ရွားေသာ လကၡဏာ။ ကုိယ္ပုိင္လကၡဏာ။ (between A and B) စိတ္တူသေဘာတူျဖစ္ျခင္း။ ထပ္တူက်ျခင္း။||
identity card|n|သက္ေသခံကတ္ျပား။||
ideogram|n|အ႐ုပ္စာ။ တစ္စုံတစ္ခုအတြက္ သေကၤတ။||
ideograph|n|အ႐ုပ္စာ။ တစ္စုံတစ္ခုအတြက္ သေကၤတ။||
ideology|n|သေဘာတရား။ အေတြး အျမင္စနစ္။||
ideological|adj|ႏုိင္ငံေရးသေဘာတရားခ်င္းကုိက္ညီေသာ။||
ideologically|adv|ႏုိင္ငံေရးသေဘာတရားခ်င္းကုိက္ညီစြာ။||
idiocy|n|မုိက္မဲမႈ (အထြတ္အထိပ္)။ မုိက္မဲမႈ။ မလိမၼာမႈ။||
idiolect|n|တစ္ခ်ိန္ခ်ိန္တြင္ ပုဂၢဳိလ္ တစ္ဦးဦးက ေျပာဆုိေရးသား သုံးႏႈန္းပုံ အစုစု။||
idiom|n|ကာလေဒသအလုိက္ သုံးႏႈန္းပုံ။ ဓေလ့သုံးစကား။ ေဒသိယစကား။ (ဤအဘိဓာန္၌ IDM ဟု အတုိေကာက္ သုံးသည္။) ပုဒ္တစ္လုံးစီတုိင္း၏ အနက္ကုိ ေပါင္းစပ္ျခင္းျဖင့္ အဓိပၸာယ္မရွင္း၊ အားလုံးစုေပါင္းလုိက္မွ အဓိပၸာယ္ေပၚေသာ ပုဒ္စု။ ႐ူÔ^စကား။ ဥပစာစကား။||
idiomatic|adj|ဓေလ့သုံး ဆန္ေသာ၊ ျဖစ္ေသာ။ ဥပစာစကား ။ ကာလေဒသအလုိက္ မူဟန္ ျဖစ္ေသာ။||
