re|prefix|တဖန္။ အျခားနည္းလမ္းျဖင့္။||
reach|v|ေရာက္ရွိသည္။ လက္လွမ္းသည္။||
reach|n|လက္လွမ္းျခင္း။ လက္လွမ္းႏုိင္သည့္ အကြာအေဝး။||
react|v|ထိေရာက္မႈရွိသည္။ တံု ့ျပန္သည္။||
reaction|n|တံု႔ျပန္မႈ၊ တုိးတက္မႈကုိမလုိလားျခင္း။||
reactionary|adj|တံု႔ျပန္မႈ၊ တုိးတက္မႈကုိမလုိလားေသာ။||
reactor|n|ဓာတ္ေပါင္းဖုိ။||
read|v|စာဖတ္သည္။ ဘာသာရပ္တစ္ခုခုကုိ ေလ့လာသည္။||
readable|adj|စာဖတ္ရန္သင့္ေတာ္ေသာ။||
readdress|v|လိပ္စာျပန္ေျပာင္းတပ္သည္။||
reader|n|စာဖတ္သူ။ (GB) ကထိက။ ဖတ္စာအုပ္။||
reading|n|စာဖတ္ျခင္း။ စာေပဗဟုသုတ။ အဓိပၸာယ္ျပန္ဆုိခ်က္။||
readjust|v|ျပန္၍ျပဳျပင္ထားသည္။||
ready|adj|အဆင္သင့္ျဖစ္ေသာ။||
readily|adv|အဆင္သင့္ျဖစ္စြာ။||
readiness|n|အဆင္သင့္ျဖစ္ျခင္း။||
real|adj|စစ္မွန္ေသာ။||
realism|n|ယထာဘူတဝါဒ။ သရုပ္မွန္ဝါဒ။||
realistic|adj|လက္ေတြ႕ ျဖစ္ျခင္း။||
reality|n|အမွန္တကယ္ျဖစ္ျခင္း။ တကယ္ရွိသည့္အရာ။||
realize|v|နားလည္သေဘာေပါက္သည္။ လက္ေတြ႕ အေကာင္အထည္ေဖာ္သည္။||
realization|n|နားလည္သေဘာေပါက္ျခင္း။||
really|adv|အမွန္စင္စစ္။||
realm|n|ႏုိင္ငံေတာ္။ နယ္ပယ္။||
realty|n|အုိးအိမ္ အေဆာက္အဦး။ အိမ္ယာ။ ျခံေျမ။||
ream|n|စကၠဴရြက္ေရ ၄၈၀။ အေမရိကန္ရြက္ေရ ၅၀၀ ပါသည့္ စကၠဴထုပ္။||
reamer|n|အေပါက္ ေဖာက္၊ ခ်ဲ႕ရန္ ကိရိယာတန္ဆာပလာ။||
reanimate|v|အားသစ္မာန္သစ္ဝင္သည္။ ျပန္လည္အားတက္ႂကြေစသည္။||
reap|v|သီးႏံွကုိရိတ္သိမ္းသည္။||
reaping-hook|n|တံစဥ္။||
reaper|n|ေကာက္ရိတ္သိမ္းသူ။ ေကာက္ရိတ္သိမ္းသည့္စက္။||
reapper|n|ျပန္လည္ေပၚထြန္းလာသည္။||
rear|n|ေနာက္ပုိင္း။||
rear|attrib|ေနာက္ဘက္၌။ ေပါက္ေရာက္ေစသည္။ မသည္။ ေျမႇာက္သည္။ ေထာင္သည္။||
rearwards|adv|ေနာက္ဘက္သုိ႔။||
rearm|v|လက္နက္ျပန္လည္ တပ္ဆင္သည္။||
rearmament|n|လက္နက္ျပန္လည္ တပ္ဆင္ျခင္း။||
reason|n|အက်ဳိးအေၾကာင္း။||
reason|v|ဆင္ျခင္သံုးသပ္သည္။||
reasoning|n|အက်ဳိးသင့္အေၾကာင္းသင့္ စဥ္းစားေတြးေခၚျခင္း။||
reasonable|adj|သဘာဝက်ေသာ။||
reasonably|adv|အက်ဳိးသင့္အေၾကာင္းသင့္။||
reassure|v|သံသယကုိ ေပ်ာက္ေစသည္။||
rebate|n|ေလ်ာ့ေငြ။||
reasonless|adj|မစဥ္းစား မဆင္ျခင္ႏုိင္ေသာ။||
rebel|n|သူပုန္။||
rebel|v|ပုန္ကန္ထႂကြသည္။||
rebellion|n|ပုန္ကန္ထႂကြျခင္း။||
rebellious|adj|ပုန္ကန္ထႂကြေသာ။||
rebelliously|adv|ပုန္ကန္ထႂကြလ်က္။||
rebelliousness|n|ပုန္ကန္လုိျခင္း။||
rebind|n|ျပန္လည္ခ်ဳပ္သည္။ (စာအုပ္)||
rebirth|n|ျပန္လည္ေမြးဖြားရွင္သန္ျခင္း။||
reborn|adj|ျပန္လည္ေမြးဖြားေသာ။||
rebound|v|ထိၿပီးျပန္ခုန္သည္။||
rebuff|n|အသနားခံမႈကုိ ျငင္းဆန္ျခင္း။||
rebuff|v|ျပန္၍ခုခံသည္။ ျပန္၍ရုိက္ပုတ္သည္။||
rebuild|v|ျပန္လည္တည္ေဆာက္သည္။||
rebuke|v|ျပင္းထန္စြာ အျပစ္တင္သည္။||
rebuke|n|ျပင္းထန္စြာ အျပစ္တင္ျခင္း။||
rebukingly|adv|ျပစ္တင္လ်က္။||
rebus|n|ပေဟဠိရုပ္ပံု။||
rebut|v|ျပန္လည္ေျခပသည္။||
recalcitrant|adj|ကလန္ကဆန္လုပ္ေသာ။||
recall|v|ျပန္လည္ဆင့္ေခၚသည္။ ျပန္လည္ေတြးေတာသည္။ ျပန္လည္ဆင့္ေခၚျခင္း။ မွတ္ဉာဏ္။||
recant|v|စြန္႔လႊတ္သည္။||
recap|v|ပြန္းေနသည္တာယာကုိ ပန္းျပန္တင္သည္။||
recapitulate|v|အဓိကအခ်က္အလက္မ်ားကုိ အခ်ဳပ္ျပန္လည္တင္ျပသည္။||
recapture|n|ျပန္လည္ရယူသိမ္းပုိက္ျခင္း။||
recapture|v|ျပန္လည္ဖမ္းမိသည္။||
recast|v|ရုပ္လံုးသစ္ေဖာ္သည္။||
recede|v|ျပန္၍ေလွ်ာသည္။ ေနာက္ျပန္က်သည္။||
receipt|n|လက္ခံရရွိျခင္း။||
receipt|v|ေငြ သုိ႔မဟုတ္ ကုန္ရရွိေၾကာင္းကုိ တံဆိပ္ေခါင္းေပၚ၌ လက္မွတ္ထုိး၍ ေပးသည္။||
receivable|adj|လက္ခံရရွိႏုိင္ေသာ။||
receive|v|လက္ခံရရွိသည္။||
receiver|n|ခံယူသူ။ လက္ခံသူ။ တယ္လီဖုန္းစကားေျပာခြက္မွ နားေထာင္သည့္ ကိရိယာ။||
recent|adj|မၾကာေသးခင္ကျဖစ္ေသာ။||
recently|adv|မၾကာေသးမီက။||
receptacle|n|ထည့္စရာ (အုိးခြက္စသည့္)။||
reception|n|လက္ခံျခင္း။ တရားဝင္ လက္ခံေတြ႕ဆံုျခင္း။ အသံဖမ္းျခင္း။||
receptionist|n|ခရီးဦးႀကိဳျပဳသူ။||
receptive|adj|လက္ခံရန္အသင့္ျဖစ္ေသာ။||
receptivity|n|လက္ခံရရွိျခင္း။||
recess|n|ရပ္နားခ်ိန္။ အလုပ္ရပ္နားျခင္း။ နံရံလုိဏ္ေခါင္းေလး။ လွ်ဳိ႕ဝွက္သည့္ေနရာ။||
recess|v|လွ်ဳိ႕ဝွက္သည့္ ေနရာ၌ထားသည္။||
recession|n|ရုပ္သိမ္းျခင္း။||
recessional|adj|ေခတၱနားခ်ိန္ ႏွင့္ဆုိင္ေသာ။||
recessive|adj|ေနာက္ျပန္ဆုတ္လုိစိတ္ရွိေသာ။||
recherche|adj|ထူးျခားစြာ ဆြဲေဆာင္မႈရွိေသာ။ လက္ေရြးစင္ျဖစ္ေသာ။||
recipe|n|ေဖာ္စပ္နည္း။ ေဆးစပ္ရန္အၫြန္း။||
recipient|n|တစ္စံုတစ္ရာကုိ လက္ခံရရွိသူ။||
reciprocal|adj|အျပန္အလွန္ျဖစ္ေသာ။||
reciprocate|v|အျပန္အလွန္ ေပးကမ္းသည္။||
reciprocity|n|အေပးအယူ။||
recital |n|ဇာတ္လမ္းရွည္ကုိ အေသးစိတ္ တင္ျပျခင္း။ ျပန္ေျပာျပျခင္း။||
recitation|n|ရြတ္ဆုိျခင္း။ အလြတ္ရြတ္ျပျခင္း။||
recitative|adj|အဆုိအေျပာ ဇာတ္လမ္းဇာတ္ကြက္။||
recite|v|အလြတ္ရြတ္ျပသည္။||
reck|v|ဂရုစုိက္သည္။||
reckless|adj|က်ဳိးေၾကာင္းမစဥ္းစားေသာ။ အေလးမထားေသာ။||
recklessly|adv|အရမ္းမဲ့။||
recklessness|n|အရမ္းမဲ့ျပဳျခင္း။||
reckon|v|ေရတြက္သည္။ တြက္ခ်က္သည္။||
reckoner|n|တြက္ခ်က္ၿပီးသား စာရင္း။ တြက္ခ်က္ျခင္း။||
reclaim|v|ေၾကးရုိင္းကုိျပဳျပင္သည္။||
recline|v|မွီသည္။ လဲေလ်ာင္းသည္။||
recluse|n|ရေသ့။||
recognition|n|အသိအမွတ္ျပဳျခင္း။||
recognizable|adj|မွတ္မိႏုိင္ေသာ။||
recognizably|adv|မွတ္မိလ်က္။||
recognizance|n|အသိအမွတ္ျပဳျခင္း။ ဝန္ခံျခင္း။ အာမခံထားျခင္း။||
recognize|v|မွတ္မိသည္။ သတိရသည္။ သိေၾကာင္းေျပာၾကားသည္။ အသိအမွတ္ျပဳသည္။||
recoil|v|တြန္႔ဆုတ္သည္။ ေနာက္သုိ႔ျပန္ကန္သည္။||
recollect|v|ျပန္လည္ေတြးေတာသည္။ မွတ္မိသည္။||
recollection|n|သတိရျခင္း။ ျပန္လည္သတိရေစသည့္အရာ။||
recommed|v|ေကာင္းမြန္ သင့္ေလ်ာ္ေၾကာင္း ေထာက္ခံခ်က္ေပးသည္။||
recommendation|n|ေထာက္ခံခ်က္။||
recompense|v|ဆုေပးသည္။ ဒဏ္ေပးသည္။||
reconcile|v|ျပန္၍သင့္ျမတ္ေစသည္။||
recondite|adj|ခက္ခဲနက္နဲ သိမ္ေမြ႕ေသာ။||
recondition|v|ျပန္လည္ျပဳျပင္သည္။||
reconnaissance|n|ရန္သူဘက္သုိ႔ ကင္းေထာက္ျခင္း။||
reconnoitre|v|ၾကည့္႐ႈစစ္ေဆးသည္။ ႀကိဳတင္ၾကည့္႐ႈစစ္ေဆးသည္။||
reconsider|adj|ျပန္၍အသစ္တဖန္ စဥ္းစားဆင္ျခင္သည္။||
reconstruct|v|ျပန္လည္တည္ေဆာက္သည္။||
