speak/talk of the devil|idm|(တစ္ေယာက္ေယာက္အေၾကာင္း ေျပာေနစဥ္ ထိုသူဝင္လာေသာ အခါ ေျပာေသာစကား)။ ေဟာ လာပါၿပီ။ ေသခဲဦးမယ္။ အသက္ရွည္ဦးမယ္။||
sparse|adj|က်ဲေသာ။ ပါးေသာ။ နည္းေသာ။ က်ဲက်ဲ။ က်ဳိးတိုးက်ဲတဲ။ မည္ကာမတၱ။||
spartan|adj|က်ပ္က်ပ္တည္းတည္းႏိုင္ေသာ။ တင္းတင္းက်ပ္က်ပ္ႏိုင္ေသာ။ ၿခိဳးျခံေသာ။||
spasm|n|လွ်ပ္တစ္ျပက္ျဖစ္ရပ္။ တဒဂၤမွ်ျဖစ္ျခင္း။ ဖ်တ္ခနဲေပၚေပါက္မႈ။ အေၾကာဆဲြျခင္း။ ဖ်တ္ခနဲ႐ုန္းျခင္း။ ဆန္႔ငင္ဆန္႔ငင္ျဖစ္ျခင္း။||
spasmodic|adj|ျပတ္ေတာင္းျပတ္ေတာင္း၊ႀကိဳးၾကားႀကိဳးၾကားျဖစ္ေသာ၊လုပ္ေသာ။ မထိန္းမသိမ္းႏိုင္ေသာ။ တဟြတ္ဟြတ္ေခ်ာင္းဆိုးျခင္း။ တစ္ခ်ီတစ္ခ်ီ။ တစ္ခ်က္တစ္ခ်က္။||
spastic|adj|သြက္ခ်ာပါဒေဝဒနာခံစားေနရေသာ။ သြက္ခ်ာပါဒေဝဒနာသည္။||
spat|n|ကေတာက္ကဆတ္။ ယခင္ကရွဴးဖိနပ္အထက္ေျခခ်င္းဝတ္လုံေအာင္ပတ္ရေသာေျခပတ္။||
spate|n|႐ုတ္ျခည္းတစ္သြန္တည္းက်လာျခင္း၊ေပၚလာျခင္း။ ျမစ္ေရလွ်ံလ်က္။||
spatial|adj|အကြာအေဝး။ အၾကား။ ကြက္လပ္။||
spatter|v|ကေရ၊ရႊံ႔စသည္စဥ္သည္၊စဥ္ေစသည္။ ခေရ၊မိုးစသည္တျဖန္းျဖန္း၊တေျဖာက္ေျဖာက္က်သည္၊စဥ္သည္။ ကတေျဖာက္ေျဖာက္။ တျဖန္းျဖန္း။ ခႀကိဳးၾကားႀကိဳးၾကား။ ေျပာက္တိေျပာက္က်ား။||
spatula|n|ထိပ္ကားဇြန္းျပား။ ေယာက္မ။ ဆရာဝန္သုံးလွ်ာဖိကိရိယာ။||
spawn|v|ဖား၊ငါးစသည္ဥဥသည္။ ေပါက္သည္။ ပြားသည္။ ေပါက္ပြားသည္။ ဖားဥ၊ငါးဥစသည္။ ဥ။||
spay|v|တိရစၦာန္အမကိုသင္းသည္။||
speak|v|စကားေျပာသည္။ ကေျပာသည္။ ခစကားစျမည္ေျပာသည္။ စကားေျပာသည္။ ေျပာသည္။ ေခၚသည္။ ဂတယ္လီဖုန္းေျပာသည္။ ကလိုေျပာသည္၊တတ္သည္။ ခလိုေျပာသည္။ မိန္႔ၾကားသည္။ ေျပာသည္။ ေဟာသည္။ ေျပာသည္။ ဆိုသည္။ ေခၚသည္။ ေျပာသည္။ အေခၚအေျပာလုပ္သည္။ ေခၚသည္။ ေျပာသည္။ ေျပာပေလာက္ေအာင္မရွိ၊ဟုတ္စသည္။ အၾကမ္းဖ်င္း၊ျခံဳငုံစသည္ေျပာရရင္။ ဆိုပါစို႔။ ကေဟာသူ။ ေျပာသူ။ ခေျပာသူ။ ဘာသာစကားေျပာသူ။ လႊတ္ေတာ္ဥကၠ႒။ ထင္ရွားၿပီးသားအထူးရွင္းျပစရာမလို။ ဘယ္သူကမွ်ေရွ႔ေနလိုက္ေပးစရာမလိုဘူး။ ကိုယ္စားေျပာသည္။ ကိုယ္စားျပဳသည္။ အဲဒါမင္းအျမင္ကိုး။ အေနနင့္ေျပာရလွ်င္။ ဘာသာစကားေျပာ။ စကားေျပာ။ တယ္လီဖုန္းျဖင့္စံေတာ္ခ်ိန္ေျဖေပးျခင္း။ ပြင့္ပြင့္လင္းလင္းေျပာသည္။ ေၾကာင္းျပလ်က္ရွိသည္။ ပြင့္ပြင့္လင္းလင္းေျပာသည္။ ရဲရဲတင္းတင္းေျပာသည္။ ႏွင့္ပတ္သက္၍ေျပာသည္၊ဆိုသည္။ က်ယ္က်ယ္ေျပာသည္။ ဘက္ကေျပာသည္၊ရပ္တည္သည္။ ထင္ထင္ရွားရွားသက္ေသခံလ်က္ရွိသည္။ သူတစ္ပါးအေၾကာင္းအေကာင္းေျပာသည္၊မေကာင္းေျပာသည္။||
