Def,State,Word
A,art,ပထမ အဂၤလိပ္အကၡရာ
A-road,n,အျမန္ေမာင္းလမ္းမၾကီးေအာက္အဆင့္ ရွိေသာ အဓိကလမ္းမ။ (B လမ္းမထက္ ပိုက်ယ္၍ ေျဖာင့္ျဖဴးသည္။)
aadvark,n,အာဖရိကတိုက္ရွိေျမတြင္းတူးတက္သည့္ ပုရြက္စား၀က္မ်ိဳး။
aback,adv,(စိတ္ပ်က္) အံအားသင့္သြားသည္
abacus,n,ေပသီးတြက္ခံု
abaft,adv, prep ,သေဘာ၏ပဲ့ဘက္သို႔။ပဲ့ဘက္တြင္။
abandon,v,စြန္႔ခြာသည္။ ပယ္ခြာသည္။ ပစ္ထားသည္။ စြန္႔ပစ္သည္။ ပစ္ပယ္သည္။ စြန္႔လႊတ္သည္။ စြန္႔သည္။ ဖ်က္(သိမ္း)သည္။ (ဟန္)မေဆာင္ (ေတာ့)။
abandoned,adj,အရွက္မရွိေသာ။ လြတ္(ေသာ)။
abandonment,n,လက္လႊတ္လိုက္(ျခင္း)။ ပစ္ပယ္လိုက္ျခင္း။ အထီး က်န္ျခင္း။
abase,v,နစ္နာေစသည္။ ႏွစ္သည္။ အညြန္႔ခ်ိဳးသည္။
abashed,adj,အေနခက္(ေသာ)။ ရွက္(ေသာ)။
abate,v,စဲသည္။ ေလ်ာ့သည္။
abattoir,n,သားသတ္ရံု။
abbe,n,ျပင္သစ္ဘုန္းေတာ္ၾကီး။
abbess,n,(သီလရွင္ေက်ာင္းတိုက္) ဆရာၾကီး။
abbey,n,(ခရစ္ယာန္) ေက်ာင္းတိုက္။ ေက်ာင္းတိုက္ေဟာင္း။
abbot,n,(ခရစ္ယာန္) ေက်ာင္းထိုင္ဘုန္းၾကီး။ ေက်ာင္းတိုက္ ဆရာေတာ္။
abbr.,n,(ပုဒ္၊ ပုဒ္စုကို) အတိုခ်ံဳးသည္။ အက်ဥ္းခ်ံဳးသည္။
abbreviate,n,(ပုဒ္၊ ပုဒ္စုကို) အတိုခ်ံဳးသည္။ အက်ဥ္းခ်ံဳးသည္။
abbreviation,n,ခ်ံဳ႕ျခင္း။
ABC,n,ေအ၊ ဘီ၊ စီ စေသာ အဂၤလိပ္ အကၡရာ။ ဘာသာရပ္တစ္ရပ္၏ အျခခံ၊ ကၾကီးေရးက။
abdicate,v,နန္းစြန္႔သည္။ ဥေပကၡာျပဳသည္။ လ်စ္လ်ဴရႈသည္။
abdication,n,အလိုအေလ်ာက္ ရာထူးစြန္႔လႊတ္ျခင္း။
abdomen,n,ဝမ္းဗိုက္။ ဝမ္း။
abdominal,adj,ဝမ္းဗိုက္ပိုင္း။
abduct,v,အဓမၼေခၚေဆာင္သည္။ ျဖားေယာင္းသည္။ လူခိုးမႈက်ဴးလြန္သည္။ ျပန္ေပးဆြဲသည္။
abduction,n,အဓမၼ ေသြးေဆာင္ျခင္း။ လူခိုးမႈ။
abeam,adv,သေဘာၤ၊ေလွ အကန္႔မ်ားေပၚတြင္။သေဘၤာ၊ေလယာဥ္ ႏွင့္ေထာင့္မွန္က်ေသာ ေဘးတိုက္တန္းတန္းအရပ္တြင္။
abed,adv,အိပ္ရာထဲတြင္။
aberrant,adj,ေဖာက္ျပန္ေသာ။ မူမမွန္ေသာ။
aberration,n,ေဖာက္ျပန္မႈ။
abet,v,(မေကာင္းမႈက်ဴးလြန္ရာ၌) အားေပးကူညီသည္။
abettor,n,(မေကာင္းမႈက်ဴးလြန္ရာ၌) အားေပးကူညီသူ။
abeyance,n,ဆိုင္းငံ့ထားျခင္း။ မက်င့္သံုးျခင္း။ ဥေပကၡာျပဳမႈ။
abhor,v,စက္ဆုပ္သည္။ ရြံမုန္းသည္။
abhorrence,n,ရြံရွာျခင္း။
abhorrent,adj,စက္ဆုပ္(ေသာ)။ ရြံရွာ(ေသာ)။
abide,v,သည္းခံသည္။ ေနသည္။
abiding,adj,ခိုင္မာေသာ။ စြဲျမဲေသာ။ မေဖ်ာက္ဖ်က္နိုင္ေသာ။
