BA|abbr|Bachelor of Arts:||
baa|n|သိုးျမည္သံ။ ပဲ…ပဲ…။||
baa|v|သိုး ေအာ္ျမည္သည္။||
babble|v|ဗလုံးဗေထြးေျပာသည္။ ဗလြတ္ဗလြတ္ေျပာ သည္။ ေပါက္ကရ ေျပာသည္။မပီကလာေျပာသည္။ အသံျမည္လ်က္ တသြင္သြင္စီးသည္။လွွ်ိဳ ့၀ွက္ခ်က္ကိုေျပာသည္။||
babble|n|ဗလုံးဗေထြးစကားသံ။ ဗလြတ္ဗလြတ္စကား။ရူးႏွမ္းစြာေျပာသည္ ့စကား။ စမ္းေရတိုးေဝွ႔ စီးသံ။||
babbler|n|လွ်ိ ့၀ွက္ခ်က္ကို ေျပာသူ။||
babe|n|ကေလးငယ္။ အေတြ ့အၾကံဳနည္းသူ။ဇနီး၊ ခင္ပြန္း၊ ရည္းစား စသည္ကို ခ်စ္စႏိုးေခၚေသာစကား။||
babel|n|လူသံသူသံကြၽက္ကြၽက္ညံေနေသာ ေနရာ။တစ္ေယာက္တစ္ေပါက္ေျပာသံ။||
baboo|babu|n|ဘာဘူ။ဟိႏၵဴလူၾကီးလူေကာင္း။||
baboon|n|ေခြးႏွင့္မ်က္ႏွာဆင္ေသာ အာဖရိက ေမ်ာက္ႀကီး။ ဘာဘြန္းေမ်ာက္။ေမ်ာက္လႊဲေက်ာ္။||
baby|n|ေမြးကင္းစအရြယ္၊ ရင္ခြင္ပိုက္အရြယ္ ကေလး။ (တိရစၦာန္) အေကာင္ေပါက္စ။ မိသားစုတြင္၊ အုပ္စုတြင္ အငယ္ဆုံး။  ကေလးလိုလူ။  (ဇနီး၊ ခင္ပြန္း၊ ရည္းစား စသည္ကို ခ်စ္စႏိုးေခၚေသာ စကား)။ အေသးေလး။  ေပါက္စေလး။အလြန္းေသးငယ္သည့္အရာ။||
baby|v|ကေလးလိုယုယသည္။ ဂ႐ုစိုက္သည္။||
baby boom|n|(စစ္ၿပီးစအခ်ိန္မ်ဳိး) ကေလးဖြားႏႈန္း တိုးေသာ ကာလ။||
baby buggy/carriage|n|လက္တြန္း ကုလားထိုင္ တစ္မ်ဳိး။ကေလးလက္တြန္းလွည္း။ ||
baby grand|n|ပက္လက္စႏၵရားအေသး။||
Babygro|n|လက္မပါေသာ ေခါင္းစြပ္ကေလးအက်ႌရွည္။ (စြပ္က်ယ္သားကဲ့သို႔ေသာ အစႏွင့္ ခ်ဳပ္သည္။)||
babyhood|n|ကေလးအျဖစ္။ ကေလးဘဝ။||
babyish|adj|ကေလး၏။ ကေလးဆန္ေသာ။ ကေလး ႏွင့္ေလ်ာ္ေသာ။||
baby-minder|n|ကေလးထိန္း။||
baby-talk|n|ခ်ိဳခ်ဳိ၊ မံမံ စသည္ကဲ့သို႔ေသာ ကေလးစကား။||
babysit|v|မိဘအျပင္သြားခိုက္ ကေလးၾကည့္ေပးသည္။||
babysitter|n|မိဘအျပင္သြားခိုက္ ကေလးၾကည့္ေပးသူ။||
babysitting|n|ကေလးထိန္းအလုပ္။||
baccalaureate|n|(ျပင္သစ္ႏွင့္ ႏိုင္ငံတကာ ေက်ာင္းမ်ား၌) အေျခခံပညာအဆင့္ ေနာက္ဆုံးစာေမးပြဲ။  ေကာလိပ္ ေက်ာင္း၊ အထက္တန္းေက်ာင္း ေက်ာင္းဆင္းဆုေတာင္းပြဲ။||
bacchanalian|adj|(အရက္ပဲြ) ဆူညံေသာင္းက်န္းေသာ။||
baccy|n|ေဆးရြက္ႀကီး။||
bachelor|n|လူပ်ဳိ။||
bachelor|n|တကၠသိုလ္ပထမဘြဲ႔။||
bacillus|n|ဗက္တီးရီးယားပိုး။||
back|n|ေက်ာဘက္။ ေနာက္ေက်ာ။ ေက်ာျပင္။ ေက်ာကုန္း။ ေက်ာ႐ိုး။ တိရစၦာန္ ေက်ာကုန္း။ ကုလားထိုင္ေက်ာမွီ။ ေနာက္တန္းလူ။  ေနာက္၌ရွိေသာ။ ေနာက္။ ယခင္ (ကထုတ္ေဝခဲ့ ေသာ)။ အေဟာင္း။ အေဟာင္း။  ေၾကြးက်န္။||
back|adv|ေနာက္သို႔။ အနည္းငယ္။ ထိန္းထားလ်က္။ ခ်ဳပ္တည္းလ်က္။ ျပန္ (ထား၊ ေပး၊ ေရာက္၊ သြား စသည္)။ (အတိတ္ ကာလသို႔) ျပန္၍။ (ခရီး) လြန္ခဲ့ေသာ။  ထြက္ခြာခဲ့ေသာ၊ ဆိုခဲ့ေသာ (ေနရာ)။  ျပန္၍ေရာက္လ်က္၊ ေခတ္စားလ်က္။||
back|v|ေထာက္ခံသည္။ အားေပးသည္။ေငြေၾကးပံ့ပိုးသည္။ေနာက္ဆုတ္သည္။ေလာင္းသည္။ေနာက္ေက်ာတြင္ ခံထားသည္။ အတီးၿဖင့္ တြဲဖက္ပံ့ပိုးေပးသည္။||
back and forth|idm|သြားလိုက္ျပန္လိုက္။ တုံ႔ ျပန္လူးလာ။ ေခါက္တုံ႔ေခါက္ျပန္။||
back away|phrv|ေနာက္ဆုတ္သည္။||
back bench|n|ရာထူးႀကီးႀကီးမရွိေသာ ပါလီမန္အမတ္။||
backbite|v|အပုပ္ခ်သည္။||
back-bone|n|ေက်ာရိုး။အမာခံေက်ာရိုး။||
back-breaking|adj|အားႏွင့္ခြန္ႏွင့္လုပ္ရေသာ။ပင္ပင္ပန္းပန္းလုပ္ရေသာ။||
back date|v|ေနာက္ေက်ာင္းျပန္ရက္စြဲတပ္သည္။ေပးရန္တာ၀န္ကိုေနာက္ေၾကာင္းျပန္ေရတြက္သည္။||
back-door|n|ေနာက္ေဖးေပါက္။||
back down|phrv|႐ုပ္သိမ္းသည္။ စြန္႔လႊတ္သည္။ တပ္ေခါက္သည္။လက္ေလွ်ာ ့သည္။||
backer|n|ေငြေၾကးေထာက္ပံ့သူ။ (ျမင္း စသည္) ထိုးသား။||
back fire|v|အိပ္ေဇာေပါက္သည္။||
backfire|n|ေမွ်ာ္မွန္းထားသည္ႏွင္ ့ဆန္ ့က်င္သည္ရလဒ္။||
background|n|ေနာက္ခံ။ေနာက္ေၾကာင္း။ေနာက္ခံသမိုင္း။||
backhand|n|ေနာက္ျပန္ရိုက္ခ်က္။ေနာက္သို ့ေစြေရးေသာ လက္ေရး။||
backing|n|အေထာက္အပံ့။ေနာက္ခံ။ေနာက္ခံအဆိုအတီး။||
back  into a corner|idm|ေခ်ာင္ပိတ္ဖမ္းသည္။||
back issue|n|သတင္းစာ၊ မဂၢဇင္း အေဟာင္း။||
backless|n|ေက်ာသားေပၚ (အက်ႌ)။||
backlog|n|အလုပ္ေၾကြး||
back number|n|သတင္းစာ၊ မဂၢဇင္း အေဟာင္း။||
back of|idm|ေက်ာဘက္ (ရွိ)။ ေနာက္ဘက္ (ရွိ)။ေနာက္တြင္။||
back off|phrv|(ၿခိမ္းေျခာက္ေႏွာင့္ယွက္မႈ စသည္) ေတာ္သည္၊ ရပ္သည္။ရုတ္သိမ္းသည္။စြန္ ့လႊတ္သည္။တပ္ေခါက္သည္။||
back onto|phrv|ေက်ာေပးထားသည္။||
back out|phrv|(ကတိ၊ သေဘာတူညီခ်က္) ႐ုပ္သိမ္းသည္။||
back-pedal|v|ေထြးၿပီး တံေတြးကိုျပန္မ်ဳိသည္။ စက္ဘီးကိုေနာက္ျပန္နင္း သည္။||
back room|n|လွ်ဳိ႔ဝွက္ေဆြးေႏြးခန္း။||
back-room boys|n|ကန္႔လန္႔ကာ ေနာက္ကပညာရွင္။||
back seat|n|(ယာဥ္) ေနာက္ခုံ။ ေနာက္ခန္း။||
back side|n|တင္။တင္ပါး။||
backstroke|n|ပက္လက္ကူး။||
back to back|idm|ေက်ာခ်င္းကပ္။ ဆက္တိုက္။||
back-to-back|n|ေနာက္ေက်ာနံရံတစ္ခုတည္းရွိေသာ ေက်ာခ်င္းကပ္အိမ္တန္း။||
back to front|idm|ေရွ႔ေနာက္ ေျပာင္းျပန္။||
back up|phrv|(ယာဥ္) ေနာက္ဆုတ္သည္။||
back  up|phrv|ေထာက္ခံသည္။အားေပးသည္။||
back  up|phrv|မိတၱဴပြားထားသည္။||
back the wrong horse|idm|႐ႈံးသည့္ဘက္ကို အားေပး ေထာက္ခံမိသည္။||
backache|n|ေက်ာနာ။ ေက်ာေအာင့္။||
backbiting|n|ကြယ္ရာ၌ မေကာင္းေျပာျခင္း။ အတင္းခ်ျခင္း။||
backbone|n|ေက်ာ႐ိုး။ ေက်ာ႐ိုး။ မ႑ိဳင္။ အားမာန္။||
backchat|n|ခံပက္ေသာစကား။||
backcloth|n|(ဇာတ္စင္) ေနာက္ခံကား။ ေနာက္ခံျဖစ္ရပ္။||
backcomb|v|ဆံပင္ေနာက္လွန္ၿဖီးသည္။||
backdate|v|ေနာက္ေၾကာင္းျပန္ ရက္စြဲသတ္မွတ္သည္။||
backfire|v|(ကား) အိတ္ေဇာေပါက္သည္။ ရလဒ္ ေျပာင္းျပန္ထြက္ေပၚ သည္။||
backgammon|n|အန္စာပစ္၍ အကြက္ေရႊ႔ရေသာကစားနည္းတစ္မ်ဳိး။||
background|n|ေနာက္ခံျမင္ကြင္း။  ေနာက္ကြယ္။ ေနာက္ခံ။ ေနာက္ခံအေၾကာင္း။ လူမႈေရးေနာက္ခံ။ ေနာက္ေၾကာင္းရာဇဝင္။||
backhand|n|လက္ျပန္ (႐ိုက္ခ်က္)။||
backhanded|adj|လက္ျပန္။ ခ်ီးမြမ္းေျခေက်ာက္။||
backhander|n|လာဘ္။ တံစိုး လက္ေဆာင္။ လက္ဖမိုး႐ိုက္ခ်က္။  လက္ျပန္႐ိုက္ခ်က္။||
backlash|n|လူမႈေရး၊ ႏိုင္ငံေရးကိစၥရပ္မ်ားအေပၚ လူအမ်ား၏တုံ႔ျပန္မႈ။||
backlog|n|ပုံေနေသာအလုပ္။ အလုပ္ေၾကြး။||
backpack|n|ေက်ာပိုးအိတ္ႀကီး။||
backpack|v|ေက်ာပိုးအိတ္တစ္လုံးႏွင့္ ေလွ်ာက္သြားသည္။||
back scratching|n|အတုံ႔အလွည့္ ကူညီမႈ။||
backside|n|တင္။ တင္ပါး။||
backslapping|n|က်ယ္ေလာင္စြာ အားေပးခ်ီးက်ဴး ျခင္း။||
backsliding|n|အေျခအေနေကာင္းလာၿပီးမွ ဒုံရင္းသို႔ျပန္ဆိုက္ျခင္း။||
backstage|adv|ဇာတ္စင္ေနာက္သို႔။ ကန္႔လန္႔ကာ ေနာက္ကြယ္က ကိစၥကို။||
backstreet|n|၁။ လမ္းၾကား။ လမ္းငယ္။ တရားမဝင္လုပ္ကိုင္ျခင္း။ ပုန္းလွ်ဳိး ကြယ္လွ်ဳိးလုပ္ကိုင္ျခင္း။||
backstroke|n|ပက္လက္ကူး။||
backswing|n|(ေဘာလုံးကို႐ိုက္ရန္) လက္ေနာက္ျပန္ အားယူလႊဲျခင္း။||
backtrack|v|လာလမ္းအတိုင္းျပန္သည္။ ျပန္လည္႐ုပ္သိမ္းသည္။ ဘြာခတ္သည္။||
backup|n|၁။ [U] အကူအညီ။ အေထာက္အပံ့။  အရန္။ အရန္အျဖစ္ ကူးယူထားေသာ ဖိုင္၊ ပ႐ိုဂရမ္ စသည္။||
backward|adj|၁။ ေနာက္သို႔မ်က္ႏွာမူေသာ။ ေနာက္ျပန္။ ေနာက္သို႔ျပန္သြားေသာ။ ေခတ္ေနာက္က်န္ေသာ။ ေနာက္တြန္႔ေသာ။ တြန္႔ဆုတ္ေသာ။ မတိုးတက္ေသာ။||
backward|adv|ေက်ာဘက္သို႔။ သမင္လည္ျပန္။ ေနာက္ျပန္။ ယခင္ေနရာ၊ ယခင္အဆင့္ သို႔။ ေနာက္သို႔။||
backwards|adv|ေက်ာဘက္သို႔။ သမင္လည္ျပန္။ ေနာက္ျပန္။ ယခင္ေနရာ၊ ယခင္အဆင့္ သို႔။ ေနာက္သို႔။||
backwardness|n|ေနာက္ျပန္။||
backwards and forwards|idm|ေရွ႔တိုး ေနာက္ ဆုတ္။ သြားခ်ည္ျပန္ခ်ည္။ ေခါက္တုံ႔ေခါက္ျပန္။||
backward and forward|idm|ေရွ႔တိုး ေနာက္ ဆုတ္။ သြားခ်ည္ျပန္ခ်ည္။ ေခါက္တုံ႔ေခါက္ျပန္။||
backwash|n|(ယက္ေၾကာင္းေၾကာင့္) ေနာက္သို႔ ျပန္ထြက္ေသာဂယက္။ ဂယက္။ ရလဒ္။||
backwater|n|၁။ ျမစ္ေခ်ာင္း စသည္တြင္ ေရေသေနေသာအပိုင္း။ ေရေသေခ်ာင္းလက္။  ေခတ္ေရစီးေၾကာင္း မွ လြတ္၍ ေနာက္က်န္ေနေသာေနရာ။အျပင္ေလာကႏွင္ ့အဆက္ျပတ္ေသာေနရာ။||
backwoods|n|လူသူမနီး ေတာႀကီးမ်က္မည္း။ ေဝးလံေခါင္ဖ်ားအရပ္။||
backyard|n|(ျခံအတြင္းရွိ သမံတလင္း ခင္းထားေသာ) အိမ္ေနာက္ေဖးကြက္လပ္။  အိမ္ ေနာက္ေဖး ဥယ်ာဥ္ေျမကြက္။||
bacon|n|ဝက္ဆားနယ္ေျခာက္။||
bacteria|n|ဗက္တီးရီးယားပိုး။||
bacterial|adj|ယင္းေၾကာင့္ျဖစ္ေသာ။ ယင္းႏွင့္ ဆိုင္ေသာ။||
bacteriology|n|ဗက္တီးရီးယား ေဗဒ။||
bacteriological|adj|ဗက္တီးရီးယားႏွင္ ့ဆိုင္ေသာ။||
bacteriologist|n|ဗက္တီးရီးယား ေဗဒပညာရွင္။||
bactrian|adj|ဘို ့ႏွစ္လံုးရွိေသာ(ကုလားအုတ္)||
bad|adj|ညံ့ေသာ။ မေကာင္းေသာ။  ဖ်င္းေသာ။ (အက်င့္၊ စ႐ိုက္) မေကာင္းေသာ။ မိုက္ေသာ။ ဆိုးေသာ။ မေကာင္းေသာ။ ဆိုးဆိုးဝါးဝါး ျဖစ္ေသာ။ ပုပ္ေသာ။ သိုးေသာ။ ဆိုးက်ဳိးျဖစ္ေစေသာ။ မေကာင္းေသာ။ မသင့္ေလ်ာ္ေသာ။အႏၱရာယ္ျဖစ္ေစေသာ။ထိခိုက္ေစေသာ။||
bad|adv|သိပ္ကို။ အလြန္႔အလြန္။အထူး။||
bad|n|မေကာင္းတာေတြ။||
bad debt|n|ျပန္ရႏိုင္ရန္မရွိေသာအေၾကြး။ ေၾကြးဆုံး။||
baddy|n|(႐ုပ္ရွင္၊ ဝတၳဳ စသည္တြင္) လူၾကမ္း။||
bad egg|idm|နာမည္ပ်က္သူ။အက်င္ ့၊စာရိတၱမေကာင္းသူ။||
bad language|n|ဖ႐ုသဝါစာ။||
badly|adv|ဆိုးဝါးစြာ။ ညံ့ဖ်င္းစြာ။  မေအာင္ျမင္။ မဟန္။ ဆိုးဝါးစြာ။ အလြန္။ သိပ္။ ဆိုးဆိုးဝါးဝါး။ မ႐ႈမလွ။||
badly off|idm|ခြၽတ္ျခံဳက်သည္။||
bad-mouth|v|(သူမ်ားအေၾကာင္း) အပုပ္ခ်သည္။||
bad-tempered|adj|စိတ္တိုေသာ။||
badge|n|တံဆိပ္။ အမွတ္သေကၤတ။||
badger|n|ေခြးတူဝက္တူ။||
badger|v|နားပူနားဆာ လုပ္သည္။ တက်ည္က်ည္လုပ္သည္။||
badinage|n|အခ်င္းခ်င္းေျပာဆိုေသာ က်ီစယ္စကား။ ရင္းရင္းႏွီးႏွီး ေနာက္ေျပာင္ က်ီစယ္ျခင္း။||
badminton|n|ၾကက္ေတာင္ရိုက္ကစားနည္း။||
badminton match|n|ၾကက္ေတာင္ပြဲ။||
badminton court|n|ၾကက္ေတာက္ကြင္း။||
baffle|v|စိတ္ရွဳပ္ေအာင္လုပ္သည္။ေ၀ခြဲမရျဖစ္သည္။||
baffling|adj|ပေဟဠိဆန္ေသာမွဳခင္း။||
bag|n|အိတ္။လြယ္အိတ္။||
bad and baggage|idm|ပိုင္ဆိုင္သမွ်ပစၥည္းအားလံုးႏွင္ ့အတူ။||
bag of bones|idm|ၾကံဳလွီေသာ-အရိုးေပၚအေ၇တင္ေနေသာ-သူ။-တိရ စၦာန္||
bags of|idm|အေျမာက္အျမား။||
baggage|n|၀န္စည္စလြယ္။အထုပ္အပိုး။||
bagpipes|n|စေကာ့တလန္စသည္တြင္္တီးမွဳတ္ေလ့ရွိေသာ အ၀တ္အိတ္ျငင္း။||
bail|n|အာမခံေငြ။||
bail |n|ခရစ္ကတ္ ရိုက္သူေနာက္တြင္စိုက္ထားေသာ တိုင္စုထိပ္ရ်ိကန့္လန့္ျဖတ္တံုးတို။||
bail out|v|အာမခံေပးေဆာင္သည္။||
bait|n|ငါးစာ။မွ်ားေခၚရန္ ေထာင္ေခ်ာက္ေနာက္တြင္တပ္ဆင္ထားေသာ အစာ။||
bait|v|ငါးစာတပ္သည္။(ေထာင္ေခ်ာက္တြင္)အစာထည့္ေထာင္သည္။||
baize|n|အစိမ္းေရာင္သကၠလတ္အခင္း။(ဖဲစားပြဲတြင္ခင္းေလ့ရွိသည္။)||
bake|v|ဖုတ္သည္။ကင္သည္။ေပါင္းသည္။အပူရွိန္ျဖင္ ့ေျခာက္ေအာင္၊မာက်စ္ေအာင္လုပ္သည္။||
