bi|pref|(ႏွစ္ခု၊ ႏွစ္ဆ အနက္ရွိ ေရွ႔ဆက္ စကား)||
biannual|adj|တစ္ႏွစ္ႏွစ္ႀကိမ္။||
bias|n|ဘက္လိုက္ျခင္း။ (ပိတ္စကို) ေထာင့္တန္းျဖတ္ ျခင္း။||
bias|v|(သေဘာထား) တစ္ဖက္ဖက္သို႔ ယိမ္းေစသည္။||
biased|adj|ဘက္လိုက္ေသာ။ အစဲြရွိေသာ။||
biassed|adj|ဘက္လိုက္ေသာ။ အစဲြရွိေသာ။||
bib|n|သြားရည္ခံ။ ေရွ႔ဖုံးခါးစည္း။||
bible|n|ခရစ္ယာန္သမၼာက်မ္းစာ။ ယင္းစာအုပ္။ အျမတ္တႏိုးလက္မလႊတ္ႏိုင္ေသာစာအုပ္။||
biblical|adj|သမၼာက်မ္း၏။ သမၼာက်မ္းလာ။||
Bible-bashing|n|ခရစ္ယာန္ အယူကို အာေပါင္အာရင္းသန္သန္ႏွင့္ ေျပာဆိုျခင္း။||
biblio|n/adj|(က်မ္း၊ စာ အနက္ရွိ ေရွ႔ဆက္စကား)။||
bibliography|n|(အေၾကာင္းအရာအလိုက္၊ က်မ္းျပဳအလိုက္) စာစုစာရင္း။ စာအုပ္ပုံႏွိပ္သမိုင္း။||
bibliophile|n|စာ႐ူး။||
bibulous|adj|အရက္ငမ္းေသာ။ ေသေသာက္ၾကဴးေသာ။||
bicameral|adj|လႊတ္ေတာ္ႏွစ္ရပ္ ရိွေသာ။(ၿဗိတိန္၌||
bicarbonate|n|ကာဗြန္နစ္ အက္စစ္ႏွင့္ ဓာတ္ျပဳရာမွရသည့္ ဓာတ္ဆား။ ဗိုင္ကာဗြန္နိတ္။||
bicarbonate of soda|n|SODIUM BICARBONATE||
bicentenary|n|ႏွစ္၂၀၀  ျပည့္ပဲြ။ ႏွစ္ ၂၀၀ ေျမာက္ႏွစ္ပတ္လည္။||
bicentennial|adj|ႏွစ္၂၀၀ တြင္တစ္ႀကိမ္ျဖစ္ေသာ။ ႏွစ္ ၂၀၀ ျပည့္။||
biceps|n|လက္႐ုံးၾကြက္သား။||
bicker|v|ဘာမဟုတ္တာ ေလးကိုျငင္းခုံသည္။||
bicycle|n|စက္ဘီး။||
bicycle|v|စက္ဘီးစီးသည္။||
bicycle-clip|n|(စက္ဘီးစီးရာတြင္) ေဘာင္းဘီရွည္ အဖ်ား ညႇပ္စရာကလစ္။||
bicyclist|n|စက္ဘီးစီးသူ။||
bid|v|(ေလလံပဲြတြင္) ေဈးၿပိဳင္ေပးသည္။ ေလလံဆဲြသည္။  (လုပ္ငန္း အတြက္) ေဈးႏႈန္းအဆိုျပဳသည္၊ ေဈးၿပိဳင္တင္သြင္းသည္။ အမိန္႔ေပးသည္။ ေျပာသည္။ ဖိတ္ၾကား သည္။ ႏႈတ္ခြန္းဆက္သည္။ ႏႈတ္ဆက္သည္။||
biddable|adj|က်ဳိးႏြံေသာ။ နာလြယ္ေသာ။||
bidder|n|ေလလံတြင္ေဈးေပးသူ။ ေလလံဆဲြသူ။||
bidding|n|အမိန္႔။ တိုက္တြန္းေျပာၾကား ခ်က္။ ေဈးၿပိဳင္ေပးျခင္း။ လုပ္ငန္းအတြက္ ေဈးၿပိဳင္ တင္သြင္းျခင္း။  (သုံးပုံဖဲႏွင့္ဆင္ေသာ ဖဲကစားနည္းမ်ဳိးတြင္) အလွည့္က်ခင္းသည့္ဖဲအဆင္။||
bid fair to do|idm|(ျဖစ္မည့္၊ ျပဳမည့္) ဟန္ရွိသည္။||
bide  time|idm|အခြင့္ေကာင္းေစာင့္သည္။||
bidet|n|ခြေဆးေရပန္း၊ အင္တုံ။||
biennial|adj|ႏွစ္ႏွစ္တစ္ႀကိမ္ (ျဖစ္ေသာ၊ လုပ္ေသာ)။||
biennial|n|ႏွစ္ႏွစ္ခံပင္။ ႏွစ္ႏွစ္ၾကာမွပြင့္ေသာအပင္။||
bier|n|အေလာင္းစင္။||
biff|n|လက္သီးျပင္းျပင္း။||
biff|v|ပိတ္ထိုးသည္။ ေဆာ္ထည့္သည္။||
bifocal|adj|အေဝးၾကည့္ အနီးၾကည့္ ပါဝါႏွစ္မ်ဳိးပါ။||
bifocals|n|ယင္းမ်က္မွန္မ်ဳိး။||
bifurcate|v|(လမ္း၊ ျမစ္ေၾကာင္း၊ သစ္ကိုင္း စသည္) ႏွစ္ခြျဖစ္သြားသည္၊ ျဖာသြားသည္။||
big|adj|၁။ ႀကီးေသာ။ ႀကီးက်ယ္ေသာ။  …ႀကီး။ …မ။  အေရးပါေသာ။  မဟာ။ ႀကီးႀကီးက်ယ္က်ယ္။ ေရပန္းစားေသာ။ အားေပး[ေသာ]။ ေစတနာ (မ) ေကာင္းလိုက္ပံုမ်ား။||
big|adv|ႀကီးႀကီးက်ယ္က်ယ္။ ေအာင္ေအာင္ျမင္ျမင္။||
big bang|n|မဟာစၾကဝဠာႀကီး စတင္ ျဖစ္ေပၚ လာေစသည့္ ေပါက္ကြဲမႈႀကီး။||
Big Brother|n|ျပည္သူ႔အက်ဳိးလိုေယာင္ျဖင့္ ျပည္သူကို ခ်ဳပ္ကိုင္ျခယ္လွယ္သည့္ ေခါင္းေဆာင္၊ အစိုးရ။||
big business|n|(ေငြေၾကးပမာဏ ႀကီးမားလွသည့္) စီးပြားေရးလုပ္ငန္းႀကီး။||
big deal|idm|ဒါေလးမ်ား။||
big dipper|n|ထိုးဆင္းထိုးတက္ ေကြ႔ပတ္သြားသည့္ အေပ်ာ္စီးရထား။ သည္းထိတ္ရင္ဖိုရထား။||
big end|n|(အင္ဂ်င္) ေရာ့တံတြင္ က႐ိုင္းရွပ္ႏွင့္ အံကိုက္ စြပ္တပ္ႏိုင္သည့္ တစ္ဖက္စြန္း။||
big game|n|အမဲ။ ေတာေကာင္ႀကီး။||
big-head|n|ဘဝင္ျမင့္သူ။ ဘဝင္။||
big-hearted|adj|သေဘာထားႀကီးေသာ။ ၾကင္နာတတ္ေသာ။||
big top|n|(ဆပ္ကပ္တြင္) ပင္မ႐ံု။||
