DA|abbr (US )|District Attorney||
dab|v|တုိ႔သည္။ သုတ္သည္။||
dab|n|ပါးပါးကေလး သုတ္ထားေသာေဆး စသည္။  ညင္သာစြာ တုိ႔ျခင္း။ (တစ္) တုိ႔။ ကြၽမ္းက်င္သူ၊ လက္ေျမာက္သူ။||
dabble|v|ေရတြင္ ေျခလက္ ႏွစ္၍ ေဆာ့ သည္၊ လႈပ္သည္။ ဟုိစပ္စပ္ သည္စပ္စပ္ လုပ္သည္။||
dachshund|n|ဒက္ရွန္း ေခၚ ေက်ာလ်ားရွည္ေခြးပု။||
dad|n|အေဖ။ (ကေလးက ဖခင္ကို ရည္ညႊန္းသံုးသည္။)||
daddy|n|အေဖ။ ေဖေဖ။ (ဖခင္က မိမိကို ရည္ညႊန္းရာ၌ျဖစ္ေစ၊ ကေလးကဖခင္ကို ေခၚရာ၌ျဖစ္ေစ သံုးသည္။)||
daddy-long-legs|n|ပ်ံတတ္ေသာ ေျခတံရွည္ အင္းဆက္ပုိး။ (US) ေျခတံရွည္ပင့္ကူ။||
dado|n|အေပၚပုိင္းႏွင့္ အေရာင္ အသားမတူေသာ နံရံေအာက္ပုိင္း။||
daemon|n|နတ္ကေလး (သို႔) စုန္း။||
daffodil|n|ျမစ္ဥမွေပါက္ေသာ ဒက္ဖဒိလ္ ေခၚ အဝါေရာင္ပန္း။||
daft|adj|ေပါေၾကာင္ေၾကာင္ႏိုင္ေသာ။||
dagger|n|ဓားေျမႇာင္။||
dago|n|အထူးသျဖင့္ အီတလီ၊ စပိန္၊ ေပၚတူဂီတုိ႔မွလာေသာ အသားမည္း ႏုိင္ငံျခားသား။||
dahlia|n|ေဒလီယာပန္း။||
daily|adj|ေန႔စဥ္။ ေန႔တိုင္း။||
daily|n|ေန႔စဥ္သတင္းစာ။||
daily help|n|ေန႔လာညျပန္ အိမ္ေဖာ္။||
dainty|adj|ႏုႏုလွလွ။ (လူ)ႏုနယ္သိမ္ေမြ႔ေသာ။ အစားအေသာက္) အေကာင္းႀကိဳက္ ေသာ၊ ေၾကးထူေသာ။||
dainty|adv|ယဥ္ေက်းသိမ္ေမြ႔စြာ။||
